Geneid	/home/ubuntu/reprohackathon/results/BAM/SRR10379721.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379722.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379723.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379724.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379725.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379726.bam
gene-SAOUHSC_00181	1927	1968	1329	526	560	119
gene-SAOUHSC_00182	664	429	461	870	974	43
gene-SAOUHSC_00183	3296	4664	3631	2282	1402	591
gene-SAOUHSC_00184	501	280	389	518	585	94
gene-SAOUHSC_00185	725	453	479	821	1337	142
gene-SAOUHSC_00186	332	203	219	645	751	108
gene-SAOUHSC_00187	12060	9739	6920	115873	174690	49124
gene-SAOUHSC_00188	5460	4055	2979	39178	70598	26721
gene-SAOUHSC_00189	67	45	37	169	433	45
gene-SAOUHSC_00190	1257	808	871	1507	2059	199
gene-SAOUHSC_00191	4046	3278	2171	4803	4509	96
gene-SAOUHSC_00192	5652	8980	5001	5795	2845	287
gene-SAOUHSC_00193	28	35	18	16	13	0
gene-SAOUHSC_00194	379	560	316	112	168	34
gene-SAOUHSC_00195	2894	5458	1965	789	1803	487
gene-SAOUHSC_00196	3675	8221	2430	1636	5369	568
gene-SAOUHSC_00197	1656	5109	1107	1764	5228	859
gene-SAOUHSC_00198	3034	7949	1752	7279	14141	1250
gene-SAOUHSC_00199	3885	9123	2061	23673	38287	4513
gene-SAOUHSC_00200	980	551	647	887	1255	167
gene-SAOUHSC_00201	2498	1250	1866	1259	1481	140
gene-SAOUHSC_00202	99	45	29	232	388	72
gene-SAOUHSC_00203	144	70	72	458	735	101
gene-SAOUHSC_00204	1718	1090	870	5708	10659	997
gene-SAOUHSC_00205	55	34	41	28	42	3
gene-SAOUHSC_00206	14465	13831	10663	132233	251353	57670
gene-SAOUHSC_00208	55	49	55	112	94	10
gene-SAOUHSC_00209	1873	1401	997	1500	941	564
gene-SAOUHSC_00211	291	193	195	424	542	280
gene-SAOUHSC_00212	3	2	0	0	0	0
gene-SAOUHSC_00213	261	180	162	130	135	20
gene-SAOUHSC_00214	88	46	47	22	21	3
gene-SAOUHSC_00215	59	45	49	21	23	2
gene-SAOUHSC_00216	391	244	234	164	160	24
gene-SAOUHSC_00217	531	316	307	243	264	74
gene-SAOUHSC_00218	30	20	17	15	12	6
